#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	36569	4	N	N	1	both	*	1
contig_2	113349	6	N	N	1	both	*	2
contig_3	73399	7	N	N	1	both	*	3
contig_4	29307	4	N	N	1	both	*	4
contig_6	71339	4	N	N	1	both	*	6
contig_7	42568	5	N	N	1	both	*	7
contig_9	118956	6	N	N	1	both	*	9
contig_10	86167	6	N	N	1	both	*	10
contig_11	50553	6	N	N	1	both	*	11
contig_12	20223	3	N	N	1	both	*	12
contig_13	32869	7	N	N	1	both	*	13
contig_14	56952	7	N	N	1	both	*	14
contig_15	66911	6	N	N	1	both	*	15
contig_16	62067	7	N	N	1	both	*	16
contig_17	92774	6	N	N	1	both	*	17
contig_18	87525	6	N	N	1	both	*	18
contig_19	10816	3	N	N	1	both	*	19
contig_20	24326	6	N	N	1	both	*	20
contig_21	22007	6	N	N	1	both	*	21
contig_22	10484	4	N	N	1	both	*	22
contig_24	26181	4	N	N	1	both	*	24
contig_26	10881	7	N	N	1	both	*	26
contig_27	19386	4	N	N	1	both	*	27
contig_29	110952	6	N	N	1	both	*	29
contig_30	66803	7	N	N	1	both	*	30
contig_31	33116	4	N	N	1	both	*	31
contig_32	34729	5	N	N	1	both	*	32
contig_33	141793	6	N	N	1	both	*	33
contig_34	11009	3	N	N	1	both	*	34
contig_35	139286	5	N	N	1	both	*	35
contig_36	42675	5	N	N	1	both	*	36
contig_37	47996	6	N	N	1	both	*	37
contig_38	43019	6	N	N	1	both	*	38
contig_39	49846	4	N	N	1	both	*	39
contig_40	28077	4	N	N	1	both	*	40
contig_41	131426	7	N	N	1	both	*	41
contig_42	10391	3	N	N	1	both	*	42
contig_43	46535	5	N	N	1	both	*	43
contig_44	34167	4	N	N	1	both	*	44
contig_45	91525	5	N	N	1	both	*	45
contig_46	45283	4	N	N	1	both	*	46
contig_47	34991	6	N	N	1	both	*	47
contig_48	46972	6	N	N	1	both	*	48
contig_49	66787	6	N	N	1	both	*	49
contig_50	14082	4	N	N	1	both	*	50
contig_51	29869	3	N	N	1	both	*	51
contig_52	24496	5	N	N	1	both	*	52
contig_53	27479	4	N	N	1	both	*	53
contig_54	8294	4	N	N	1	both	*	54
contig_55	35757	5	N	N	1	both	*	55
contig_56	59182	5	N	N	1	both	*	56
contig_57	45629	7	N	N	1	both	*	57
contig_58	25777	5	N	N	1	both	*	58
contig_59	20073	4	N	N	1	both	*	59
contig_60	24254	7	N	N	1	both	*	60
contig_61	19365	6	N	N	1	both	*	61
contig_62	42306	5	N	N	1	both	*	62
contig_63	24161	4	N	N	1	both	*	63
contig_64	86008	7	N	N	1	both	*	64
contig_65	87213	7	N	N	1	both	*	65
contig_66	66839	5	N	N	1	both	*	66
contig_67	109717	6	N	N	1	both	*	67
contig_68	7990	3	N	N	1	both	*	68
contig_69	51442	6	N	N	1	both	*	69
contig_70	9428	3	N	N	1	both	*	70
contig_72	51516	6	N	N	1	both	*	72
contig_73	75152	4	N	N	1	both	*	73
contig_74	22582	4	N	N	1	both	*	74
contig_75	14169	5	N	N	1	both	*	75
contig_76	28557	4	N	N	1	both	*	76
contig_77	40675	6	N	N	1	both	*	77
contig_79	52239	6	N	N	1	both	*	79
contig_80	42861	5	N	N	1	both	*	80
contig_81	12899	3	N	N	1	both	*	81
contig_82	13049	3	N	N	1	both	*	82
contig_83	34683	4	N	N	1	both	*	83
contig_84	56042	6	N	N	1	both	*	84
contig_85	50976	4	N	N	1	both	*	85
contig_86	12734	3	N	N	1	both	*	86
contig_87	15291	6	N	N	1	both	*	87
contig_88	32406	4	N	N	1	both	*	88
contig_89	21463	3	N	N	1	both	*	89
contig_90	64047	7	N	N	1	both	*	90
contig_91	60946	6	N	N	1	both	*	91
contig_92	10523	3	N	N	1	both	*	92
contig_93	101006	7	N	N	1	both	*	93
contig_94	56161	7	N	N	1	both	*	94
contig_95	77404	7	N	N	1	both	*	95
contig_96	24363	6	N	N	1	both	*	96
contig_97	22439	5	N	N	1	both	*	97
contig_98	90494	5	N	N	1	both	*	98
contig_99	20632	5	N	N	1	both	*	99
contig_100	34304	5	N	N	1	both	*	100
contig_101	12789	4	N	N	1	both	*	101
contig_102	27162	5	N	N	1	both	*	102
contig_103	50994	5	N	N	1	both	*	103
contig_104	25957	6	N	N	1	both	*	104
contig_105	32427	3	N	N	1	both	*	105
contig_106	27898	7	N	N	1	both	*	106
contig_107	15973	5	N	N	1	both	*	107
contig_108	9917	4	N	N	1	both	*	108
contig_109	6769	3	N	N	1	both	*	109
contig_110	28736	7	N	N	1	both	*	110
contig_111	21740	3	N	N	1	both	*	111
contig_112	28926	4	N	N	1	both	*	112
contig_113	40907	4	N	N	1	both	*	113
contig_114	32166	5	N	N	1	both	*	114
contig_115	9687	3	N	N	1	both	*	115
contig_116	48411	4	N	N	1	both	*	116
contig_117	37455	7	N	N	1	both	*	117
contig_118	12846	6	N	N	1	both	*	118
contig_120	18766	4	N	N	1	both	*	120
contig_121	40713	3	N	N	1	both	*	121
contig_122	41739	6	N	N	1	both	*	122
contig_123	50558	5	N	N	1	both	*	123
contig_124	13313	6	N	N	1	both	*	124
contig_125	13477	4	N	N	1	both	*	125
contig_126	11627	5	N	N	1	both	*	126
contig_127	31154	3	N	N	1	both	*	127
contig_128	74083	4	N	N	1	both	*	128
contig_129	40046	4	N	N	1	both	*	129
contig_130	46772	3	N	N	1	both	*	130
contig_132	36808	6	N	N	1	both	*	132
contig_133	21182	4	N	N	1	both	*	133
contig_134	15881	6	N	N	1	both	*	134
contig_135	21380	4	N	N	1	both	*	135
contig_136	28226	3	N	N	1	both	*	136
contig_137	7807	5	N	N	1	both	*	137
contig_138	8185	3	N	N	1	both	*	138
contig_139	12110	5	N	N	1	both	*	139
contig_140	23958	4	N	N	1	both	*	140
contig_141	20885	4	N	N	1	both	*	141
contig_142	23458	3	N	N	1	both	*	142
contig_143	286424	6	N	N	1	both	*	143
contig_144	18116	3	N	N	1	both	*	144
contig_145	21300	3	N	N	1	both	*	145
contig_146	18169	5	N	N	1	both	*	146
contig_147	43227	6	N	N	1	both	*	147
contig_148	28928	4	N	N	1	both	*	148
contig_149	21118	3	N	N	1	both	*	149
contig_150	38429	6	N	N	1	both	*	150
contig_151	66838	5	N	N	1	both	*	151
contig_152	12138	3	N	N	1	both	*	152
contig_153	9868	3	N	N	1	both	*	153
contig_154	16188	3	N	N	1	both	*	154
contig_155	22745	5	N	N	1	both	*	155
contig_156	38257	7	N	N	1	both	*	156
contig_157	70752	5	N	N	1	both	*	157
contig_158	10959	6	N	N	1	both	*	158
contig_159	15260	4	N	N	1	both	*	159
contig_160	9415	5	N	N	1	both	*	160
contig_161	24584	5	N	N	1	both	*	161
contig_162	18198	4	N	N	1	both	*	162
contig_163	30886	5	N	N	1	both	*	163
contig_164	32804	6	N	N	1	both	*	164
contig_165	15003	4	N	N	1	both	*	165
