#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_143	302369	10	N	N	1	*	*,143,*
contig_329	199549	10	N	N	1	*	*,329,*
contig_238	193863	10	N	N	1	*	*,238,*
contig_313	165042	7	N	N	1	*	*,313,*
contig_247	156227	9	N	N	1	*	*,247,*
contig_33	150291	8	N	N	1	*	*,33,*
contig_35	147390	10	N	N	1	*	*,35,*
contig_277	140921	10	N	N	1	*	*,277,*
contig_41	139030	12	N	N	1	*	*,41,*
contig_273	136129	12	N	N	1	*	*,273,*
contig_25	133796	11	N	Y	2	*	*,25,*
contig_9	126230	10	N	N	1	*	*,9,*
contig_2	119875	11	N	N	1	*	*,2,*
contig_29	117432	10	N	N	1	*	*,29,*
contig_67	116412	9	N	N	1	*	*,67,*
contig_93	105900	11	N	N	1	*	*,93,*
contig_337	105750	11	N	N	1	*	*,337,*
contig_5	101623	13	N	Y	2	*	*,5,*
contig_17	97722	11	N	N	1	*	*,17,*
contig_45	97033	8	N	N	1	*	*,45,*
contig_98	95356	8	N	N	1	*	*,98,*
contig_335	94658	12	N	N	1	*	*,335,*
contig_170	92105	10	N	N	1	*	*,170,*
contig_18	91770	10	N	N	1	*	*,18,*
contig_64	91687	9	N	N	1	*	*,64,*
contig_65	91546	11	N	N	1	*	*,65,*
contig_10	90424	10	N	N	1	*	*,10,*
contig_188	88165	7	N	N	1	*	*,188,*
contig_180	87519	13	N	N	3	*	*,180,*
contig_287	85725	10	N	N	1	*	*,287,*
contig_95	81230	13	N	N	1	*	*,95,*
contig_73	80081	6	N	N	1	*	*,73,*
contig_219	79592	12	N	N	1	*	*,219,*
contig_128	78798	6	N	N	1	*	*,128,*
contig_3	77376	12	N	N	1	*	*,3,*
contig_263	75714	12	N	N	1	*	*,263,*
contig_6	75592	7	N	N	1	*	*,6,*
contig_157	73908	9	N	N	1	*	*,157,*
contig_319	73021	9	N	N	1	*	*,319,*
contig_49	71077	8	N	N	1	*	*,49,*
contig_66	70852	8	N	N	1	*	*,66,*
contig_30	70388	12	N	N	1	*	*,30,*
contig_15	70013	10	N	N	1	*	*,15,*
contig_288	69815	11	N	N	1	*	*,288,*
contig_151	69679	7	N	N	1	*	*,151,*
contig_90	67725	11	N	N	1	*	*,90,*
contig_252	67466	9	N	N	1	*	*,252,*
contig_346	65902	6	N	N	1	*	*,346,*
contig_16	65338	11	N	N	1	*	*,16,*
contig_91	64119	11	N	N	1	*	*,91,*
contig_332	63909	9	N	N	1	*	*,332,*
contig_323	62798	10	N	N	1	*	*,323,*
contig_342	62739	6	N	N	1	*	*,342,*
contig_56	62490	9	N	N	1	*	*,56,*
contig_198	61837	10	N	N	1	*	*,198,*
contig_341	60306	9	N	N	1	*	*,341,*
contig_14	59869	11	N	N	1	*	*,14,*
contig_94	59378	9	N	N	1	*	*,94,*
contig_84	59241	8	N	N	1	*	*,84,*
contig_282	57455	10	N	N	1	*	*,282,*
contig_347	55935	10	N	N	1	*	*,347,*
contig_79	55363	9	N	N	1	*	*,79,*
contig_72	54600	11	N	N	1	*	*,72,*
contig_69	54333	9	N	N	1	*	*,69,*
contig_85	53735	7	N	N	1	*	*,85,*
contig_123	53666	8	N	N	1	*	*,123,*
contig_11	53545	10	N	N	1	*	*,11,*
contig_256	53496	10	N	N	1	*	*,256,*
contig_103	53289	8	N	N	1	*	*,103,*
contig_324	52932	8	N	N	1	*	*,324,*
contig_39	52735	8	N	N	1	*	*,39,*
contig_351	51863	6	N	N	1	*	*,351,*
contig_71	51431	14	N	Y	2	*	*,71,*
contig_116	51072	5	N	N	1	*	*,116,*
contig_37	50826	9	N	N	1	*	*,37,*
contig_130	50081	8	N	N	2	*	*,130,*
contig_43	49463	7	N	N	1	*	*,43,*
contig_48	49303	10	N	N	1	*	*,48,*
contig_194	48736	10	N	N	1	*	*,194,*
contig_46	48275	6	N	N	1	*	*,46,*
contig_57	47558	11	N	N	1	*	*,57,*
contig_327	47402	8	N	N	1	*	*,327,*
contig_172	47075	9	N	N	1	*	*,172,*
contig_283	46595	8	N	N	1	*	*,283,*
contig_147	45694	10	N	N	1	*	*,147,*
contig_36	45471	8	N	N	1	*	*,36,*
contig_28	45356	11	N	Y	2	*	*,28,*
contig_80	45287	8	N	N	1	*	*,80,*
contig_38	45213	6	N	N	1	*	*,38,*
contig_62	44817	8	N	N	1	*	*,62,*
contig_7	44808	7	N	N	1	*	*,7,*
contig_122	44218	8	N	N	1	*	*,122,*
contig_187	43910	4	N	N	1	*	*,187,*
contig_209	43821	8	N	N	1	*	*,209,*
contig_121	43652	5	N	N	1	*	*,121,*
contig_113	43639	6	N	N	1	*	*,113,*
contig_77	43034	10	N	N	1	*	*,77,*
contig_129	42855	6	N	N	1	*	*,129,*
contig_289	42335	9	N	N	1	*	*,289,*
contig_231	41439	16	N	Y	2	*	*,231,*
contig_258	41428	6	N	N	1	*	*,258,*
contig_224	40975	7	N	N	1	*	*,224,*
contig_150	40838	10	N	N	1	*	*,150,*
contig_298	40396	7	N	N	1	*	*,298,*
contig_156	40364	10	N	N	1	*	*,156,*
contig_117	39222	11	N	N	1	*	*,117,*
contig_1	38836	6	N	N	1	*	*,1,*
contig_132	38484	10	N	N	1	*	*,132,*
contig_55	37963	8	N	N	1	*	*,55,*
contig_240	37900	4	N	N	1	*	*,240,*
contig_236	37517	6	N	N	1	*	*,236,*
contig_47	37037	10	N	N	1	*	*,47,*
contig_83	36983	7	N	N	1	*	*,83,*
contig_32	36852	8	N	N	1	*	*,32,*
contig_100	36378	10	N	N	1	*	*,100,*
contig_44	36304	9	N	N	1	*	*,44,*
contig_297	35810	10	N	N	1	*	*,297,*
contig_270	35411	6	N	N	1	*	*,270,*
contig_31	35007	7	N	N	1	*	*,31,*
contig_13	34955	8	N	N	1	*	*,13,*
contig_164	34850	10	N	N	1	*	*,164,*
contig_88	34445	5	N	N	1	*	*,88,*
contig_105	34105	5	N	N	1	*	*,105,*
contig_114	34080	7	N	N	1	*	*,114,*
contig_251	33740	5	N	N	1	*	*,251,*
contig_295	33043	5	N	N	1	*	*,295,*
contig_317	32964	9	N	N	1	*	*,317,*
contig_163	32749	9	N	N	1	*	*,163,*
contig_127	32638	5	N	N	1	*	*,127,*
contig_168	32068	7	N	N	1	*	*,168,*
contig_51	31874	8	N	N	2	*	*,51,*
contig_148	31114	6	N	N	1	*	*,148,*
contig_4	31113	6	N	N	1	*	*,4,*
contig_201	30772	9	N	N	1	*	*,201,*
contig_112	30521	7	N	N	1	*	*,112,*
contig_110	30199	12	N	N	1	*	*,110,*
contig_136	30133	3	N	N	1	*	*,136,*
contig_76	30051	7	N	N	1	*	*,76,*
contig_40	29956	7	N	N	1	*	*,40,*
contig_218	29686	8	N	N	1	*	*,218,*
contig_106	29504	11	N	N	1	*	*,106,*
contig_53	28627	6	N	N	1	*	*,53,*
contig_102	28304	8	N	N	1	*	*,102,*
contig_177	28070	10	N	N	1	*	*,177,*
contig_24	27929	6	N	N	1	*	*,24,*
contig_199	27862	11	N	N	1	*	*,199,*
contig_58	27345	8	N	N	1	*	*,58,*
contig_104	27225	9	N	N	1	*	*,104,*
contig_242	27108	8	N	N	1	*	*,242,*
contig_275	26923	5	N	N	1	*	*,275,*
contig_228	26141	8	N	N	1	*	*,228,*
contig_161	25889	8	N	N	1	*	*,161,*
contig_52	25860	8	N	N	1	*	*,52,*
contig_340	25785	10	N	N	1	*	*,340,*
contig_96	25668	9	N	N	1	*	*,96,*
contig_20	25511	8	N	N	1	*	*,20,*
contig_60	25496	10	N	N	1	*	*,60,*
contig_63	25491	7	N	N	1	*	*,63,*
contig_140	25421	6	N	N	1	*	*,140,*
contig_190	25260	4	N	N	1	*	*,190,*
contig_178	25227	8	N	N	2	*	*,178,*
contig_175	24829	4	N	N	1	*	*,175,*
contig_142	24774	6	N	N	1	*	*,142,*
contig_74	24057	6	N	N	1	*	*,74,*
contig_348	24047	4	N	N	1	*	*,348,*
contig_167	23833	9	N	N	1	*	*,167,*
contig_155	23793	9	N	N	1	*	*,155,*
contig_97	23691	7	N	N	1	*	*,97,*
contig_21	23208	9	N	N	1	*	*,21,*
contig_111	23038	6	N	N	1	*	*,111,*
contig_119	22865	16	N	Y	3	*	*,119,*
contig_239	22847	7	N	N	1	*	*,239,*
contig_89	22784	5	N	N	1	*	*,89,*
contig_214	22636	5	N	N	1	*	*,214,*
contig_149	22605	5	N	N	1	*	*,149,*
contig_133	22535	8	N	N	1	*	*,133,*
contig_135	22426	7	N	N	1	*	*,135,*
