#seq_name	length	coverage
contig_1	38836	6
contig_10	90424	10
contig_100	36378	10
contig_101	13461	6
contig_102	28304	8
contig_103	53289	8
contig_104	27225	9
contig_105	34105	5
contig_106	29504	11
contig_107	16919	6
contig_108	10462	4
contig_109	7278	3
contig_11	53545	10
contig_110	30199	12
contig_111	23038	6
contig_112	30521	7
contig_113	43639	6
contig_114	34080	7
contig_115	10336	7
contig_116	51072	5
contig_117	39222	11
contig_118	13655	7
contig_119	22865	16
contig_12	21502	6
contig_120	19920	6
contig_121	43652	5
contig_122	44218	8
contig_123	53666	8
contig_124	14128	9
contig_125	14121	8
contig_126	12142	9
contig_127	32638	5
contig_128	78798	6
contig_129	42855	6
contig_13	34955	8
contig_130	50081	8
contig_131	15720	13
contig_132	38484	10
contig_133	22535	8
contig_134	16732	9
contig_135	22426	7
contig_136	30133	3
contig_137	8221	5
contig_138	8756	5
contig_139	12730	11
contig_14	59869	11
contig_140	25421	6
contig_141	22185	7
contig_142	24774	6
contig_143	302369	10
contig_144	18656	3
contig_145	22256	7
contig_146	19136	8
contig_147	45694	10
contig_148	31114	6
contig_149	22605	5
contig_15	70013	10
contig_150	40838	10
contig_151	69679	7
contig_152	13001	6
contig_153	10412	3
contig_154	17125	4
contig_155	23793	9
contig_156	40364	10
contig_157	73908	9
contig_158	11520	10
contig_159	16299	6
contig_16	65338	11
contig_160	10055	12
contig_161	25889	8
contig_162	19319	4
contig_163	32749	9
contig_164	34850	10
contig_165	16113	9
contig_166	12982	7
contig_167	23833	9
contig_168	32068	7
contig_169	11577	4
contig_17	97722	11
contig_170	92105	10
contig_171	16772	10
contig_172	47075	9
contig_173	20451	8
contig_174	19625	5
contig_175	24829	4
contig_176	17782	4
contig_177	28070	10
contig_178	25227	8
contig_179	6277	3
contig_18	91770	10
contig_180	87519	13
contig_181	7806	8
contig_182	7361	5
contig_183	19607	7
contig_184	15197	8
contig_185	19806	10
contig_186	15658	9
contig_187	43910	4
contig_188	88165	7
contig_189	10472	7
contig_19	11073	3
contig_190	25260	4
contig_191	18032	8
contig_192	21486	6
contig_193	15385	7
contig_194	48736	10
contig_195	16877	4
contig_196	21519	8
contig_197	22291	11
contig_198	61837	10
contig_199	27862	11
contig_2	119875	11
contig_20	25511	8
contig_200	20619	5
contig_201	30772	9
contig_202	11416	6
contig_203	20096	7
contig_204	22370	6
contig_205	14854	7
contig_206	18804	6
contig_207	10884	9
contig_208	9916	3
contig_209	43821	8
contig_21	23208	9
contig_210	15365	6
